城区,卧室数,客厅数,房屋面积,楼层,是否临近地铁,是否学区房,单位面积价格
0,朝阳,1,0,46.06,中层,1,0,48850
1,朝阳,1,1,59.09,中层,1,0,46540
2,海淀,5,2,278.95,高层,1,1,71662
3,海淀,3,2,207.0,高层,1,1,57972
4,丰台,2,1,53.32,低层,1,1,71268
5,丰台,2,1,58.0,低层,1,1,70690
6,海淀,2,1,55.8,低层,1,1,57348
7,海淀,2,1,58.9,中层,1,1,55179
8,海淀,2,1,66.9,中层,1,1,45591
9,丰台,2,2,53.0,中层,1,0,73585
10,朝阳,2,2,94.19,中层,1,0,60516
11,朝阳,1,0,38.94,高层,1,0,56498
12,朝阳,1,0,48.0,高层,1,0,55209
13,朝阳,1,0,36.74,中层,1,0,54437
14,朝阳,1,0,45.0,低层,1,0,53334
15,朝阳,1,1,92.98,中层,1,0,50549
16,朝阳,1,1,64.6,中层,1,0,68576
17,朝阳,1,1,80.74,低层,1,0,66634
18,朝阳,1,1,81.0,低层,1,0,66050
19,朝阳,1,1,78.23,低层,1,0,67749
20,朝阳,4,2,218.28,低层,1,1,71010
21,丰台,1,1,46.0,低层,1,0,52174
22,丰台,1,1,46.39,低层,1,0,45700
23,丰台,2,1,58.0,低层,1,0,45690
24,丰台,1,1,46.39,高层,1,0,45269
25,丰台,1,0,46.39,中层,1,0,44191
26,丰台,1,1,46.39,低层,1,0,44191
27,丰台,1,1,60.56,高层,1,0,43429
28,丰台,1,1,48.44,高层,1,0,39637
29,朝阳,1,0,71.77,高层,1,0,36227
30,朝阳,3,1,141.0,高层,1,0,45036
31,朝阳,3,1,143.19,低层,1,0,39109
32,朝阳,3,2,146.72,中层,1,0,38509
33,朝阳,3,2,155.3,高层,1,0,77270
34,朝阳,3,2,150.4,中层,1,0,74469
35,朝阳,2,2,119.13,中层,1,0,73869
36,朝阳,3,2,139.01,高层,1,0,71938
37,朝阳,1,0,46.44,高层,1,0,71060
38,朝阳,4,2,192.68,高层,1,0,70065
39,朝阳,2,2,116.64,中层,1,0,65587
40,朝阳,2,2,117.0,中层,1,0,63077
41,朝阳,1,0,66.36,高层,1,0,61785
42,朝阳,1,0,54.62,高层,1,0,60418
43,朝阳,1,0,53.44,低层,1,0,58009
